collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position
Northwestern,Big Ten,Minnesota,1973,65,3,13,Jim Lash,Wide Receiver
Eastern Kentucky,,San Francisco,1977,65,3,9,Elmo Boyd,Wide Receiver
Iowa,Big Ten,Miami,1985,65,3,9,George Little,Defensive Tackle
Miami,ACC,San Francisco,2005,65,3,1,Frank Gore,Running Back
Michigan State,Big Ten,Cleveland,1992,65,3,9,Bill Johnson,Defensive Tackle
Ohio,Mid-American,Atlanta,1970,65,3,13,Todd Snyder,Wide Receiver
Michigan State,Big Ten,Minnesota,1991,65,3,10,Carlos Jenkins,Linebacker
Texas A&M,Southwest,Chicago,1989,65,3,9,Jerry Fontenot,Offensive Guard
UCF,,Seattle,1992,66,3,10,Bob Spitulski,Linebacker
Utah,Pac-12,Tennessee,2015,66,3,2,Jeremiah Poutasi,Offensive Guard
Toledo,Mid-American,Pittsburgh,2019,66,3,2,Diontae Johnson,Wide Receiver
Miami,ACC,Houston,2006,66,3,2,Eric Winston,Offensive Tackle
Georgia,SEC,New York,2018,66,3,2,Lorenzo Carter,Outside Linebacker
Houston,Southwest,Miami,1990,66,3,13,Alfred Oglesby,Defensive Tackle
Colorado,Pac-12,San Francisco,2017,66,3,2,Ahkello Witherspoon,Cornerback
Virginia,ACC,Washington,2014,66,3,2,Morgan Moses,Offensive Tackle
Long Beach State,PCAA,Pittsburgh,1987,66,3,10,Charles Lockett,Wide Receiver
Texas Tech,Southwest,Kansas City,1980,66,3,10,James Hadnot,Running Back
Nevada,Western Athletic,Cincinnati,2011,66,3,2,Dontay Moch,Outside Linebacker
Kansas,Big 8,Kansas City,1974,66,3,14,David Jaynes,Quarterback
Colorado State,Western Athletic,Los Angeles,1986,66,3,11,Terry Unrein,Defensive End
UCF,Conference USA,Minnesota,2012,66,3,3,Josh Robinson,Cornerback
Connecticut,Big East,Las Vegas,2013,66,3,4,Sio Moore,Outside Linebacker
Arizona,Pac-10,Los Angeles,1981,66,3,10,Robert Cobb,Defensive End
Florida State,FBS Independents,Tampa Bay,1991,66,3,11,Lawrence Dawsey,Wide Receiver
Iowa,Big Ten,Detroit,2010,66,3,2,Amari Spievey,Cornerback
Iowa,Big Ten,Los Angeles,2009,66,3,2,Bradley Fletcher,Cornerback
Virginia,ACC,Tampa Bay,1997,66,3,6,Ronde Barber,Defensive Back
San José State,Western Athletic,Cincinnati,2001,66,3,4,Sean Brewer,Tight End
Texas A&M,Southwest,New York,1993,66,3,10,Marcus Buckley,Linebacker
Texas A&M,SEC,Minnesota,2021,66,3,2,Kellen Mond,Quarterback
Hampton,,Miami,2008,66,3,3,Kendall Langford,Defensive End
USC,Pac-12,Los Angeles,2016,66,3,3,Max Tuerk,Center
SMU,Southwest,New York,1972,66,3,14,Gary Hammond,Wide Receiver
Purdue,Big Ten,Indianapolis,1984,66,3,10,Chris Scott,Defensive Tackle
Memphis,American Athletic,Washington,2020,66,3,2,Antonio Gibson,Wide Receiver
TCU,Southwest,Chicago,1969,66,3,14,Ross Montgomery,Running Back
Georgia,SEC,Chicago,1979,66,3,10,Willie McClendon,Running Back
Florida State,ACC,Cincinnati,2000,66,3,4,Ron Dugans,Wide Receiver
Georgia Tech,FBS Independents,Philadelphia,1978,66,3,10,Reggie Wilkes,Linebacker
Oklahoma State,Big 8,New York,1967,66,3,13,Dennis Randall,Defensive End
Texas State,,Cleveland,1968,66,3,11,Reece Morrison,Running Back
Ohio State,Big Ten,Cincinnati,1994,66,3,1,Jeff Cothran,Running Back
Ohio State,Big Ten,Chicago,1976,66,3,6,Brian Baschnagel,Wide Receiver
Ohio State,Big Ten,New England,1975,66,3,14,Pete Cusick,Defensive Tackle
Texas,Big 12,Detroit,2003,66,3,2,Cory Redding,Defensive End
Texas A&M,Big 12,Chicago,1999,66,3,5,Rex Tucker,Offensive Guard
Kent State,Mid-American,New Orleans,2007,66,3,2,Usama Young,Defensive Back
BYU,Western Athletic,New Orleans,1973,66,3,14,Pete Van Valkenburg,Running Back
Fresno State,Western Athletic,Pittsburgh,1998,66,3,5,Chris Conrad,Offensive Tackle
Michigan,Big Ten,Cleveland,1971,66,3,14,Paul Staroba,Wide Receiver
Auburn,SEC,Washington,1989,66,3,10,Tracy Rocker,Defensive Tackle
Purdue,Big Ten,Los Angeles,2004,66,3,3,Nick Hardwick,Center
Kansas State,Big 8,New Orleans,1982,66,3,11,Eugene Goodlow,Wide Receiver
Stanford,Pac-10,Los Angeles,2005,66,3,2,Oshiomogho Atogwe,Defensive Back
Maryland,ACC,Tennessee,1977,66,3,10,Tim Wilson,Running Back
North Carolina,ACC,Green Bay,1995,66,3,2,William Henderson,Running Back
Clemson,ACC,Dallas,1970,66,3,14,Charlie Waters,Defensive Back
Clemson,ACC,New Orleans,1983,66,3,10,Cliff Austin,Running Back
Tennessee,SEC,Houston,2002,66,3,1,Fred Weary,Offensive Tackle
Memphis,FBS Independents,Minnesota,1985,66,3,10,Tim Long,Offensive Tackle
Baylor,Southwest,Minnesota,1984,67,3,11,Alfred Anderson,Running Back
Notre Dame,FBS Independents,Detroit,2020,67,3,3,Julian Okwara,Outside Linebacker
Memphis,FBS Independents,New York,1985,67,3,11,Donnie Elder,Defensive Back
Iowa,Big Ten,Green Bay,2006,67,3,3,Abdul Hodge,Linebacker
Vanderbilt,SEC,Tampa Bay,2010,67,3,3,Myron Lewis,Cornerback
Oklahoma,Big 8,Los Angeles,1982,67,3,12,Bill Bechtold,Center
Wisconsin,Big Ten,Green Bay,1991,67,3,12,Don Davey,Defensive End
Purdue,Big Ten,Las Vegas,2004,67,3,4,Stuart Schweigert,Defensive Back
Birmingham-Southern,,Atlanta,1972,67,3,15,Les Goodman,Running Back
Ohio State,Big Ten,Tennessee,1995,67,3,3,Chris Sanders,Wide Receiver
Iowa,Big Ten,Carolina,2008,67,3,4,Charles Godfrey,Cornerback
San Diego State,Mountain West,Denver,2012,67,3,4,Ronnie Hillman,Running Back
LSU,SEC,Philadelphia,2013,67,3,5,Bennie Logan,Defensive Tackle
Miami,ACC,Cleveland,2018,67,3,3,Chad Thomas,Defensive End
Eastern Illinois,,Denver,1999,67,3,6,Chris Watson,Defensive Back
Purdue,Big Ten,Kansas City,2009,67,3,3,Alex Magee,Defensive Tackle
Texas,Big 12,Denver,1997,67,3,7,Dan Neil,Center
Akron,Mid-American,Cleveland,2005,67,3,3,Charlie Frye,Quarterback
Appalachian State,,Atlanta,1993,67,3,11,Harold Alexander,Punter
Oregon State,Pac-8,Atlanta,1969,67,3,15,Jon Sandstrom,Offensive Guard
Arizona,Western Athletic,Cleveland,1973,67,3,15,Bob Crum,Defensive End
Penn State,FBS Independents,New York,1976,67,3,7,Greg Buttle,Linebacker
Augustana (IL),,Cincinnati,1971,67,3,15,Ken Anderson,Quarterback
Stanford,Pac-10,Chicago,1981,67,3,11,Ken Margerum,Wide Receiver
Grambling,,Buffalo,1970,67,3,15,Glenn Alexander,Defensive Back
Louisiana Monroe,,Pittsburgh,1986,67,3,12,Bubby Brister,Quarterback
UTEP,FBS Independents,Green Bay,1968,67,3,12,Billy Stevens,Quarterback
Colorado,Big 8,Pittsburgh,1992,67,3,11,Joel Steed,Defensive Tackle
Baylor,Big 12,San Francisco,2019,67,3,3,Jalen Hurd,Wide Receiver
Kansas State,Big 12,Atlanta,2000,67,3,5,Mark Simoneau,Linebacker
North Dakota State,,Miami,2014,67,3,3,Billy Turner,Offensive Tackle
Texas Tech,Southwest,Kansas City,1977,67,3,11,Thomas Howard,Linebacker
Oklahoma State,Big 8,Los Angeles,1967,67,3,14,Harold Akin,Offensive Tackle
Texas A&M,Southwest,Indianapolis,1994,67,3,2,Jason Mathews,Offensive Tackle
Nebraska,Big 12,New York,1998,67,3,6,Scott Frost,Defensive Back
TCU,Conference USA,Carolina,2002,67,3,2,Matt Schobel,Tight End
South Carolina,SEC,Jacksonville,2015,67,3,3,A.J. Cann,Offensive Guard
Nebraska,Big Ten,Dallas,2016,67,3,4,Maliek Collins,Defensive Tackle
North Carolina,ACC,Indianapolis,1974,67,3,15,Robert Pratt,Offensive Guard
East Carolina,FBS Independents,Los Angeles,1990,67,3,14,Walter Wilson,Wide Receiver
Cincinnati,Conference USA,Houston,2003,67,3,3,Antwan Peek,Linebacker
Florida State,ACC,Los Angeles,2001,67,3,5,Tay Cody,Defensive Back
Tennessee,SEC,Detroit,1983,67,3,11,Mike Cofer,Defensive End
Auburn,SEC,Los Angeles,1975,67,3,15,Dan Nugent,Tight End
Tennessee,SEC,New Orleans,2017,67,3,3,Alvin Kamara,Running Back
Michigan State,Big Ten,Buffalo,1980,67,3,11,Mark Brammer,Tight End
West Texas A&M,Missouri Valley,Detroit,1979,67,3,11,Bo Robinson,Running Back
Texas A&M-Kingsville,,Cleveland,1978,67,3,11,Larry Collins,Running Back
Arkansas State,,New Orleans,1987,67,3,11,Mike Adams,Defensive Back
Boston College,ACC,Dallas,2007,67,3,3,James Marten,Offensive Tackle
NC State,ACC,Denver,2011,67,3,3,Nate Irving,Inside Linebacker
Stanford,Pac-12,Houston,2021,67,3,3,Davis Mills,Quarterback
Washington,Pac-10,Arizona,1989,67,3,11,Mike Zandofsky,Offensive Guard
Wisconsin,Big Ten,Atlanta,2014,68,3,4,Dez Southward,Safety
San Diego State,Mountain West,Cleveland,2013,68,3,6,Leon McFadden,Cornerback
USC,Pac-8,New York,1975,68,3,16,Richard Wood,Linebacker
Mississippi State,SEC,San Francisco,2016,68,3,5,Will Redmond,Cornerback
San Diego State,PCAA,Denver,1974,68,3,16,Claudie Minor,Offensive Tackle
Washington,Pac-10,Indianapolis,1981,68,3,12,Randy Van Divier,Offensive Tackle
Wake Forest,ACC,New Orleans,1982,68,3,13,Kenny Duckett,Wide Receiver
LSU,SEC,Buffalo,2011,68,3,4,Kelvin Sheppard,Inside Linebacker
Long Beach State,PCAA,Detroit,1976,68,3,8,Russ Bolinger,Offensive Tackle
Michigan,Big Ten,Dallas,1969,68,3,16,Tom Stincic,Linebacker
Idaho,Big West,New York,1997,68,3,8,Ryan Phillips,Linebacker
Southeastern Louisiana,,New York,1979,68,3,12,Donald Dykes,Defensive Back
Florida,SEC,New York,2019,68,3,4,Jachai Polite,Defensive End
Bowling Green,Mid-American,Cleveland,1978,68,3,12,Mark Miller,Quarterback
Indiana,Big Ten,Tennessee,2005,68,3,4,Courtney Roby,Wide Receiver
Florida,SEC,Dallas,1989,68,3,12,Rhondy Weston,Defensive End
Florida,SEC,Dallas,1987,68,3,12,Jeff Zimmerman,Offensive Guard
California,Pac-12,New York,2020,68,3,4,Ashtyn Davis,Safety
Ohio State,Big Ten,Houston,2012,68,3,5,DeVier Posey,Wide Receiver
Florida State,FBS Independents,San Francisco,1990,68,3,15,Ron Lewis,Wide Receiver
Illinois,Big Ten,Kansas City,2010,68,3,4,Jon Asamoah,Offensive Guard
Michigan,Big Ten,Atlanta,2021,68,3,4,Jalen Mayfield,Offensive Tackle
Miami,ACC,Las Vegas,2015,68,3,4,Clive Walford,Tight End
Notre Dame,FBS Independents,Chicago,2001,68,3,6,Mike Gandy,Offensive Guard
USC,AAWU,Philadelphia,1968,68,3,13,Adrian Young,Linebacker
Texas A&M,Big 12,Los Angeles,1999,68,3,7,Rich Coady,Defensive Back
South Carolina,SEC,Detroit,2002,68,3,3,Andre Goodman,Defensive Back
California,Pac-10,Cleveland,1983,68,3,12,Reggie Camp,Defensive End
USC,Pac-10,New Orleans,1985,68,3,12,Jack Del Rio,Linebacker
Arizona,Pac-10,Chicago,2003,68,3,4,Lance Briggs,Linebacker
Purdue,Big Ten,Philadelphia,1972,68,3,16,Tom Luken,Offensive Guard
Mississippi State,SEC,Buffalo,1998,68,3,7,Robert Hicks,Offensive Tackle
New Mexico,Mountain West,Tampa Bay,2007,68,3,4,Quincy Black,Linebacker
San José State,Western Athletic,Chicago,2009,68,3,4,Jarron Gilbert,Defensive Tackle
Nebraska,Big 8,Philadelphia,1967,68,3,15,Harry Wilson,Running Back
West Virginia,Big East,Detroit,1993,68,3,12,Mike Compton,Center
Maryland,ACC,Los Angeles,1977,68,3,12,Ed Fulton,Offensive Guard
Nevada,,Seattle,1986,68,3,13,Patrick Hunter,Defensive Back
Illinois,Big Ten,Jacksonville,2017,68,3,4,Dawaune Smoot,Defensive End
Houston,FBS Independents,Cleveland,1971,68,3,16,Charles Hall,Linebacker
Stanford,Pac-12,Houston,2018,68,3,4,Justin Reid,Safety
Nicholls,,Washington,1995,68,3,4,Darryl Pounds,Defensive Back
UCLA,Pac-10,Minnesota,1980,68,3,12,Brent Boyd,Center
LSU,SEC,Los Angeles,2006,68,3,4,Claude Wroten,Defensive Tackle
Minnesota,Big Ten,Green Bay,1970,68,3,16,Jim Carter,Linebacker
Georgia,SEC,New Orleans,1984,68,3,12,Terry Hoage,Defensive Back
Grambling,,Minnesota,1991,68,3,13,Jake Reed,Wide Receiver
Florida,SEC,Tennessee,2000,68,3,6,Erron Kinney,Tight End
Ohio State,Big Ten,Indianapolis,2004,68,3,5,Ben Hartsock,Tight End
Fresno State,Western Athletic,Washington,1994,68,3,3,Tydus Winans,Wide Receiver
Carson-Newman,,Cincinnati,1973,68,3,16,Tim George,Wide Receiver
LSU,SEC,Atlanta,2008,68,3,5,Chevis Jackson,Cornerback
Washington,Pac-10,New York,1992,68,3,12,Siupeli Malamala,Offensive Tackle
Texas,Southwest,Philadelphia,1969,69,3,17,Bill Bradley,Defensive Back
LSU,SEC,Seattle,2020,69,3,5,Damien Lewis,Offensive Guard
Western Illinois,,Dallas,2009,69,3,5,Jason Williams,Outside Linebacker
Florida Atlantic,Sun Belt,Arizona,2011,69,3,5,Robert Housler,Tight End
Notre Dame,FBS Independents,Denver,1975,69,3,17,Drew Mahalic,Linebacker
West Virginia,Big 12,Tampa Bay,2014,69,3,5,Charles Sims,Running Back
Kentucky,SEC,Minnesota,2001,69,3,7,Eric Kelly,Defensive Back
LSU,SEC,Tampa Bay,1994,69,3,4,Harold Bishop,Tight End
Colorado,Big 8,Indianapolis,1991,69,3,14,Dave McCloughan,Defensive Back
Florida State,ACC,Arizona,2007,69,3,5,Buster Davis,Linebacker
Tennessee,SEC,Dallas,2003,69,3,5,Jason Witten,Tight End
Purdue,Big Ten,Indianapolis,2004,69,3,6,Gilbert Gardner,Linebacker
Colorado,Big 8,Arizona,1970,69,3,17,Eric Harris,Defensive Back
San José State,PCAA,Detroit,1977,69,3,13,Rick Kane,Running Back
Weber State,,Las Vegas,2006,69,3,5,Paul McQuistan,Offensive Tackle
Texas A&M-Kingsville,,Arizona,1978,69,3,13,Doug Greene,Defensive Back
Long Beach State,PCAA,Los Angeles,1985,69,3,13,John Hendy,Defensive Back
Kansas State,Big 12,Seattle,2015,69,3,5,Tyler Lockett,Wide Receiver
UCLA,Pac-10,Washington,1998,69,3,8,Skip Hicks,Running Back
Oregon State,AAWU,San Francisco,1968,69,3,14,Skip Vanderbundt,Linebacker
NC State,ACC,Buffalo,2012,69,3,6,T.J. Graham,Wide Receiver
Washington,Pac-10,New York,1992,69,3,13,Aaron Pierce,Tight End
Washington,Pac-10,Chicago,1997,69,3,9,Bob Sapp,Offensive Guard
Eastern Washington,,Los Angeles,2017,69,3,5,Cooper Kupp,Wide Receiver
Alabama,SEC,San Francisco,2002,69,3,4,Saleem Rasheed,Linebacker
Hillsdale,,Las Vegas,2010,69,3,5,Edwin Veldheer,Offensive Tackle
Houston,FBS Independents,New York,1972,69,3,17,Tommy Mozisek,Running Back
NC State,ACC,Detroit,1986,69,3,14,Joe Milinichik,Offensive Guard
New Hampshire,,Detroit,1982,69,3,14,Steve Doig,Linebacker
Maryland,Big Ten,Jacksonville,2016,69,3,6,Yannick Ngakoue,Defensive End
Arizona State,Pac-10,Indianapolis,1979,69,3,13,Kim Anderson,Defensive Back
Arizona State,Pac-10,Green Bay,1987,69,3,13,Scott Stephen,Linebacker
NC State,ACC,New York,2018,69,3,5,B.J. Hill,Defensive Tackle
South Dakota State,,Los Angeles,1999,69,3,8,Steve Heiden,Tight End
North Carolina,ACC,Denver,1993,69,3,13,Rondell Jones,Defensive Back
North Carolina,ACC,Denver,1989,69,3,13,Darrell Hamilton,Offensive Tackle
LSU,SEC,Arizona,2013,69,3,7,Tyrann Mathieu,Cornerback
Stanford,Pac-10,Tennessee,1983,69,3,13,Chris Dressel,Tight End
LSU,SEC,Los Angeles,2008,69,3,6,Jacob Hester,Fullback
North Carolina,ACC,New Orleans,1984,69,3,13,Tyrone Anthony,Running Back
New Mexico,Western Athletic,Dallas,1971,69,3,17,Sam Scarber,Running Back
San José State,Mountain West,Jacksonville,2019,69,3,5,Josh Oliver,Tight End
Syracuse,Big East,Cincinnati,1995,69,3,5,Melvin Tuten,Offensive Tackle
Nebraska,Big 8,New York,1973,69,3,17,Rich Glover,Defensive Tackle
North Texas,Missouri Valley,Arizona,1967,69,3,16,Vidal Carlin,Quarterback
Texas,Big 12,Cincinnati,2021,69,3,5,Joseph Ossai,Defensive End
Arizona,Pac-10,Buffalo,1990,69,3,16,Glenn Parker,Offensive Tackle
Penn State,FBS Independents,New York,1980,69,3,13,Lance Mehl,Linebacker
USC,Pac-8,Cincinnati,1976,69,3,9,Danny Reece,Defensive Back
Arizona State,Pac-10,Las Vegas,2005,69,3,5,Andrew Walter,Quarterback
Lehigh,,Atlanta,1974,69,3,17,Kim McQuilken,Quarterback
Georgia Tech,ACC,Chicago,2000,69,3,7,Dez White,Wide Receiver
Pittsburgh,FBS Independents,Washington,1981,69,3,13,Russ Grimm,Offensive Guard
Memphis,American Athletic,Los Angeles,2019,70,3,6,Darrell Henderson,Running Back
Notre Dame,FBS Independents,Denver,2007,70,3,6,Ryan Harris,Offensive Tackle
Arizona State,Western Athletic,Dallas,1975,70,3,18,Bob Breunig,Linebacker
Kansas State,Big 8,Los Angeles,1994,70,3,5,Andre Coleman,Wide Receiver
Arizona State,Pac-12,Houston,2015,70,3,6,Jaelen Strong,Wide Receiver
Pittsburgh,Big East,Arizona,2003,70,3,6,Gerald Hayes,Linebacker
Maryland,ACC,Miami,1992,70,3,14,Larry Webster,Defensive Tackle
Texas,Big 12,Miami,2020,70,3,6,Brandon Jones,Safety
California,Pac-12,Jacksonville,2012,70,3,7,Bryan Anger,Punter
Ohio State,Big Ten,Minnesota,2017,70,3,6,Pat Elflein,Center
Ohio State,Big Ten,Buffalo,2006,70,3,6,Ashton Youboty,Defensive Back
Southeastern Louisiana,,New York,1971,70,3,18,Ron Hornsby,Linebacker
Central State,,Dallas,1991,70,3,15,Erik Williams,Offensive Tackle
Norfolk State,,Los Angeles,1969,70,3,18,Eugene Ferguson,Offensive Tackle
Montana State,,Green Bay,2004,70,3,7,Joey Thomas,Defensive Back
Florida,SEC,Miami,2005,70,3,6,Channing Crowder,Linebacker
Boston College,FBS Independents,Buffalo,1974,70,3,18,Gary Marangi,Quarterback
South Carolina,SEC,Minnesota,2002,70,3,5,Willie Offord,Defensive Back
Penn State,FBS Independents,Pittsburgh,1976,70,3,10,Ron Coder,Defensive Tackle
Notre Dame,FBS Independents,Buffalo,1967,70,3,17,Tom Rhoads,Defensive End
Southern Mississippi,FBS Independents,Kansas City,1981,70,3,14,Marvin Harvey,Tight End
New Mexico,Western Athletic,Detroit,1995,70,3,6,David Sloan,Tight End
Memphis,FBS Independents,Los Angeles,1986,70,3,15,Jeff Walker,Offensive Tackle
Texas A&M,Big 12,Denver,2000,70,3,8,Chris Cole,Wide Receiver
Purdue,Big Ten,New York,1998,70,3,9,Brian Alford,Wide Receiver
Kent State,Mid-American,Atlanta,1997,70,3,10,O.J. Santiago,Tight End
Cincinnati,Missouri Valley,Indianapolis,1970,70,3,18,Jim O'Brien,Wide Receiver
Vanderbilt,SEC,Chicago,2008,70,3,7,Earl Bennett,Wide Receiver
Tulane,FBS Independents,New York,1968,70,3,15,Bob Duhon,Running Back
Georgia Tech,ACC,Cincinnati,2009,70,3,6,Michael  Johnson,Defensive End
BYU,FBS Independents,Baltimore,2016,70,3,7,Bronson Kaufusi,Defensive End
Hawai'i',,Arizona,1987,70,3,14,Colin Scotts,Defensive Tackle
Hawai'i',,Denver,1993,70,3,14,Jason Elam,Place Kicker
Kansas,Big 8,Los Angeles,1980,70,3,14,LeRoy Irvin,Defensive Back
Alcorn State,,Tennessee,1977,70,3,14,Jimmy Giles,Tight End
Colorado State,Western Athletic,Los Angeles,1972,70,3,18,Lawrence McCutcheon,Running Back
TCU,Southwest,Cincinnati,1985,70,3,14,Sean Thomas,Defensive Back
Iowa,Big Ten,Detroit,1999,70,3,9,Jared DeVries,Defensive End
Iowa State,Big 8,New York,1983,70,3,14,Karl Nelson,Offensive Tackle
Oregon,Pac-10,Baltimore,2010,70,3,6,Ed Dickson,Tight End
Georgia,SEC,Kansas City,2011,70,3,6,Justin Houston,Defensive End
Penn State,FBS Independents,New England,1984,70,3,14,Jonathan Williams,Running Back
Pacific,PCAA,Pittsburgh,1982,70,3,15,Mike Merriweather,Linebacker
North Carolina,ACC,New Orleans,2001,70,3,8,Sedrick Hodge,Linebacker
BYU,FBS Independents,Carolina,2021,70,3,6,Brady Christensen,Offensive Tackle
Connecticut,Big East,Tennessee,2013,70,3,8,Blidi Wreh-Wilson,Cornerback
Nebraska,Big 8,Atlanta,1978,70,3,14,Stan Waldemore,Offensive Guard
Maryland,ACC,Pittsburgh,1990,70,3,17,Neil O'Donnell,Quarterback
BYU,FBS Independents,San Francisco,2018,70,3,6,Fred Warner,Inside Linebacker
USC,Pac-12,San Francisco,2014,70,3,6,Marcus Martin,Center
Iowa,Big Ten,New York,1989,70,3,14,Joe Mott,Linebacker
LSU,SEC,Denver,1973,70,3,18,John Wood,Defensive Tackle
Kentucky,SEC,Cleveland,1979,70,3,14,James Ramey,Defensive End
LSU,SEC,Arizona,1983,71,3,15,Ramsey Dardar,Defensive Tackle
Boise State,Mountain West,New York,2016,71,3,8,Darian Thompson,Safety
Louisville,Missouri Valley,Dallas,1968,71,3,16,Ed Harmon,Linebacker
Fort Hays State,,Green Bay,1987,71,3,15,Frankie Neal,Wide Receiver
Georgia Tech,ACC,Green Bay,2010,71,3,7,Morgan Burnett,Safety
Maryland,ACC,Green Bay,1979,71,3,15,Charles Johnson,Defensive Tackle
Maryland,ACC,Tennessee,2004,71,3,8,Randy Starks,Defensive Tackle
Florida State,ACC,Indianapolis,1998,71,3,10,E.G. Green,Wide Receiver
Michigan,Big Ten,Chicago,1984,71,3,15,Stefan Humphries,Offensive Guard
Tennessee,SEC,Arizona,2000,71,3,9,Darwin Walker,Defensive Tackle
Wisconsin,Big Ten,Las Vegas,2009,71,3,7,Matt Shaughnessy,Defensive End
Virginia,ACC,Los Angeles,1994,71,3,6,Keith Lyle,Defensive Back
Kansas State,Big 12,Los Angeles,2002,71,3,6,Ben Leber,Linebacker
Virginia State,,Detroit,1970,71,3,19,Jim Mitchell,Defensive End
Northwestern,Big Ten,Chicago,1999,71,3,10,D'Wayne Bates,Wide Receiver
Miami (OH),Mid-American,Miami,1977,71,3,15,Mike Watson,Offensive Tackle
Vanderbilt,SEC,Arizona,1969,71,3,19,Chip Healy,Linebacker
Oregon,Pac-12,Chicago,2015,71,3,7,Hroniss Grasu,Center
Iowa,Big Ten,Cleveland,2014,71,3,7,Chris Kirksey,Outside Linebacker
Nebraska,Big 8,Chicago,1971,71,3,19,Bob Newton,Offensive Tackle
UCF,American Athletic,New York,2021,71,3,7,Aaron Robinson,Cornerback
Utah,Western Athletic,Green Bay,1982,71,3,16,Del Rodgers,Running Back
Alabama,SEC,New England,1992,71,3,15,Kevin Turner,Running Back
South Carolina,SEC,Philadelphia,1997,71,3,11,Duce Staley,Running Back
Texas A&M,SEC,Baltimore,2020,71,3,7,Justin Madubuike,Defensive Tackle
USC,Pac-10,New Orleans,1981,71,3,15,Hoby Brenner,Tight End
SMU,Conference USA,Washington,2012,71,3,8,Josh LeRibeus,Offensive Guard
Oregon,Pac-12,Denver,2018,71,3,7,Royce Freeman,Running Back
South Carolina State,,Los Angeles,1978,71,3,15,Rickey Anderson,Running Back
Penn State,FBS Independents,Detroit,1973,71,3,19,Jim Laslavic,Linebacker
Indiana,Big Ten,Los Angeles,2017,71,3,7,Dan Feeney,Offensive Guard
Oklahoma,Big 12,Dallas,2011,71,3,7,Demarco Murray,Running Back
Purdue,Big Ten,Tennessee,1991,71,3,16,Steve Jackson,Defensive Back
Florida State,ACC,Miami,2007,71,3,7,Lorenzo Booker,Running Back
Cal Poly,,Philadelphia,2006,71,3,7,Chris Gocong,Defensive End
Colorado,Big 8,Jacksonville,1995,71,3,7,Chris Hudson,Defensive Back
Southern,,San Francisco,1972,71,3,19,Allen Dunbar,Wide Receiver
Nevada,Western Athletic,Minnesota,2003,71,3,7,Nate Burleson,Wide Receiver
Ohio State,Big Ten,Denver,2019,71,3,7,Dre'Mont Jones,Defensive Tackle
San Diego State,Western Athletic,Green Bay,1985,71,3,15,Rich Moran,Offensive Guard
Miami,ACC,Baltimore,2008,71,3,8,Tavares Gooden,Inside Linebacker
Oklahoma State,Big 8,Indianapolis,1967,71,3,18,Leon Ward,Linebacker
Eastern Kentucky,,Seattle,1989,71,3,15,Elroy Harris,Running Back
Boston College,FBS Independents,Buffalo,1980,71,3,15,John Schmeding,Offensive Guard
Penn State,Big Ten,Green Bay,2001,71,3,9,Bhawoh Jue,Defensive Back
Western Michigan,Mid-American,New Orleans,1990,71,3,18,Joel Smeenge,Defensive End
Washington,Pac-10,Los Angeles,1986,71,3,16,Hugh Millen,Quarterback
Kansas,Big 8,Atlanta,1976,71,3,11,Dave Scott,Offensive Tackle
UCF,,Washington,1993,71,3,15,Rick Hamilton,Linebacker
North Carolina Central,,Atlanta,1974,71,3,19,Maurice Spencer,Defensive Back
Stanford,Pac-10,Tampa Bay,2005,71,3,7,Alex Smith,Tight End
USC,Pac-12,Los Angeles,2013,71,3,9,T.J. McDonald,Safety
Oregon State,Pac-8,San Francisco,1975,71,3,19,Jeff Hart,Offensive Tackle
Colorado,Big 8,Green Bay,1976,72,3,12,Mike McCoy,Defensive Back
Alabama,SEC,Tampa Bay,1983,72,3,16,Jeremiah Castille,Defensive Back
Tuskegee,,Chicago,2002,72,3,7,Roosevelt Williams,Defensive Back
Georgia,SEC,Arizona,2006,72,3,8,Leonard Pope,Tight End
Oklahoma,Big 12,Green Bay,2001,72,3,10,Torrance Marshall,Linebacker
Florida State,FBS Independents,Cleveland,1969,72,3,20,Charles Glass,Tight End
Oregon State,Pac-12,Minnesota,2014,72,3,8,Scott Crichton,Defensive End
Iowa State,Big 8,Cleveland,1967,72,3,19,Eppie Barney,Wide Receiver
Texas A&M-Kingsville,,Atlanta,1994,72,3,7,Anthony Phillips,Defensive Back
Florida,SEC,Chicago,2016,72,3,9,Jonathan Bullard,Defensive End
Western Illinois,,Detroit,1981,72,3,16,Don Greco,Offensive Guard
Notre Dame,FBS Independents,Cincinnati,1991,72,3,17,Bob Dahl,Defensive Tackle
Illinois,Big Ten,New Orleans,2011,72,3,8,Martez Wilson,Outside Linebacker
BYU,Western Athletic,Green Bay,1986,72,3,17,Robbie Bosco,Quarterback
Stanford,Pac-10,Detroit,2005,72,3,8,Stanley Wilson,Defensive Back
Fresno State,Western Athletic,Minnesota,2007,72,3,8,Marcus McCauley,Defensive Back
Central State,,Las Vegas,1972,72,3,20,Mel Lunsford,Defensive Tackle
Central Michigan,,Kansas City,1973,72,3,20,Paul Krause,Offensive Tackle
Texas A&M,Southwest,New York,1977,72,3,16,Tank Marshall,Defensive End
LSU,SEC,Arizona,1985,72,3,16,Lance Smith,Offensive Guard
UCF,,Philadelphia,1995,72,3,8,Greg Jefferson,Defensive End
Arkansas State,Sun Belt,Buffalo,2010,72,3,8,Alex Carrington,Defensive End
