collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position
Pittsburgh,FBS Independents,Atlanta,1985,2,1,2,Bill Fralic,Offensive Tackle
Texas,Southwest,New York,1980,2,1,2,"Johnny ""Lam"" Jones",Wide Receiver
Alabama,SEC,Indianapolis,1987,2,1,2,Cornelius Bennett,Linebacker
Penn State,Big Ten,Washington,2000,2,1,2,LaVar Arrington,Linebacker
BYU,FBS Independents,New York,2021,2,1,2,Zach Wilson,Quarterback
USC,Pac-10,Jacksonville,1995,2,1,2,Tony Boselli,Offensive Tackle
Texas A&M,Big 12,Denver,2011,2,1,2,Von Miller,Outside Linebacker
Colorado,Big 8,Los Angeles,1974,2,1,2,Bo Matthews,Running Back
Ohio State,Big Ten,Washington,2020,2,1,2,Chase Young,Defensive End
Michigan State,Big Ten,Detroit,2003,2,1,2,Charles Rogers,Wide Receiver
SMU,Southwest,Los Angeles,1983,2,1,2,Eric Dickerson,Running Back
Penn State,Big Ten,New York,2018,2,1,2,Saquon Barkley,Running Back
USC,Pac-10,Las Vegas,1997,2,1,2,Darrell Russell,Defensive Tackle
LSU,SEC,Indianapolis,1973,2,1,2,Bert Jones,Quarterback
Mississippi State,SEC,Indianapolis,1982,2,1,2,Johnie Cooks,Linebacker
North Carolina,ACC,New York,1981,2,1,2,Lawrence Taylor,Linebacker
Texas A&M,SEC,Jacksonville,2013,2,1,2,Luke Joeckel,Offensive Tackle
Washington State,Pac-10,Los Angeles,1998,2,1,2,Ryan Leaf,Quarterback
Ohio State,Big Ten,San Francisco,2019,2,1,2,Nick Bosa,Defensive End
North Dakota State,,Philadelphia,2016,2,1,2,Carson Wentz,Quarterback
North Carolina,ACC,Chicago,2017,2,1,2,Mitchell Trubisky,Quarterback
UCLA,Pac-10,Cleveland,1991,2,1,2,Eric Turner,Defensive Back
Virginia,ACC,Los Angeles,2008,2,1,2,Chris Long,Defensive End
Nebraska,Big 12,Detroit,2010,2,1,2,Ndamukong Suh,Defensive Tackle
Notre Dame,FBS Independents,Seattle,1993,2,1,2,Rick Mirer,Quarterback
Baylor,Big 12,Washington,2012,2,1,2,Robert Griffin III,Quarterback
Penn State,FBS Independents,New York,1990,2,1,2,Blair Thomas,Running Back
Georgia Tech,ACC,Detroit,2007,2,1,2,Calvin Johnson,Wide Receiver
Florida State,ACC,Arizona,1998,3,1,3,Andre Wadsworth,Defensive End
Ohio State,Big Ten,New York,1974,3,1,3,John Hicks,Offensive Guard
Texas,Southwest,Philadelphia,1973,3,1,3,Jerry Sisemore,Offensive Tackle
Purdue,Big Ten,Philadelphia,1969,3,1,3,Leroy Keyes,Running Back
Ohio State,Big Ten,Seattle,1997,3,1,3,Shawn Springs,Defensive Back
Purdue,Big Ten,Tennessee,1986,3,1,3,Jim Everett,Quarterback
LSU,SEC,Kansas City,2009,3,1,3,Tyson Jackson,Defensive End
North Dakota State,,San Francisco,2021,3,1,3,Trey Lance,Quarterback
Georgia,SEC,Arizona,1993,3,1,3,Garrison Hearst,Running Back
Miami,Big East,Houston,2003,3,1,3,Andre Johnson,Wide Receiver
Florida,SEC,San Francisco,1967,3,1,3,Steve Spurrier,Quarterback
Michigan State,Big Ten,New York,1984,3,1,3,Carl Banks,Linebacker
Texas A&M,Southwest,Tennessee,1985,3,1,3,Ray Childress,Defensive End
Purdue,Big Ten,Cleveland,1970,3,1,3,Mike Phipps,Quarterback
UCLA,Pac-10,New York,1981,3,1,3,Freeman McNeil,Running Back
Florida,SEC,New Orleans,1978,3,1,3,Wes Chandler,Wide Receiver
Southern Illinois,,Chicago,1972,3,1,3,Lionel Antoine,Offensive Tackle
Miami,FBS Independents,Tennessee,1987,3,1,3,Alonzo Highsmith,Running Back
Oregon,Pac-10,Detroit,2002,3,1,3,Joey Harrington,Quarterback
Ohio State,Big Ten,Detroit,2020,3,1,3,Jeff Okudah,Cornerback
North Carolina,ACC,Indianapolis,1975,3,1,3,Ken Huff,Offensive Guard
Oklahoma,Big 12,Tampa Bay,2010,3,1,3,Gerald McCoy,Defensive Tackle
Alcorn State,,Tennessee,1995,3,1,3,Steve McNair,Quarterback
Washington State,Pac-10,Cincinnati,1979,3,1,3,Jack Thompson,Quarterback
Oregon,Pac-10,Cincinnati,1999,3,1,3,Akili Smith,Quarterback
California,Pac-8,New Orleans,1976,3,1,3,Chuck Muncie,Running Back
UCF,American Athletic,Jacksonville,2014,3,1,3,Blake Bortles,Quarterback
Michigan,Big Ten,Cleveland,2005,3,1,3,Braylon Edwards,Wide Receiver
Florida,SEC,Cleveland,2001,3,1,3,Gerard Warren,Defensive Tackle
Texas,Big 12,Tennessee,2006,3,1,3,Vince Young,Quarterback
Alabama,SEC,New York,2019,3,1,3,Quinnen Williams,Defensive Tackle
Miami,FBS Independents,Seattle,1990,3,1,3,Cortez Kennedy,Defensive Tackle
Tennessee,SEC,Washington,1994,3,1,3,Heath Shuler,Quarterback
Stanford,Pac-12,San Francisco,2017,3,1,3,Solomon Thomas,Defensive Tackle
Boston College,ACC,Atlanta,2008,3,1,3,Matt Ryan,Quarterback
Pittsburgh,Big East,Arizona,2004,3,1,3,Larry Fitzgerald,Wide Receiver
Penn State,FBS Independents,Seattle,1983,3,1,3,Curt Warner,Running Back
Wisconsin,Big Ten,Cleveland,2007,3,1,3,Joe Thomas,Offensive Tackle
USC,Pac-10,Cleveland,1982,3,1,3,Chip Banks,Linebacker
Santa Clara,,Tennessee,1971,3,1,3,Dan Pastorini,Quarterback
USC,Pac-12,New York,2018,3,1,3,Sam Darnold,Quarterback
Miami,FBS Independents,Cincinnati,1977,3,1,3,Eddie Edwards,Defensive End
Tennessee State,,Atlanta,1968,3,1,3,Claude Humphrey,Defensive End
USC,Pac-10,Cincinnati,1980,3,1,3,Anthony Munoz,Offensive Tackle
Alabama,SEC,Washington,2000,3,1,3,Chris Samuels,Offensive Tackle
Nebraska,Big 8,Atlanta,1991,3,1,3,Bruce Pickens,Defensive Back
Florida,SEC,Jacksonville,2015,3,1,3,Dante Fowler Jr.,Defensive End
Alabama,SEC,Cleveland,2012,3,1,3,Trent Richardson,Running Back
Pittsburgh,Big East,Los Angeles,1992,3,1,3,Sean Gilbert,Defensive Tackle
Oklahoma State,Big 8,Detroit,1989,3,1,3,Barry Sanders,Running Back
Alabama,SEC,Buffalo,2011,3,1,3,Marcell Dareus,Defensive Tackle
Ohio State,Big Ten,Los Angeles,2016,3,1,3,Joey Bosa,Defensive End
Oregon,Pac-12,Miami,2013,3,1,3,Dion Jordan,Outside Linebacker
North Texas,Missouri Valley,Pittsburgh,1969,4,1,4,Joe Greene,Defensive Tackle
Oregon,Pac-8,Arizona,1972,4,1,4,Ahmad Rashad,Wide Receiver
Michigan,Big Ten,Las Vegas,1998,4,1,4,Charles Woodson,Defensive Back
Alabama,SEC,Tampa Bay,1990,4,1,4,Keith McCants,Defensive End
Alabama,SEC,Kansas City,1989,4,1,4,Derrick Thomas,Linebacker
Alabama,SEC,Indianapolis,1986,4,1,4,Jon Hand,Defensive End
Penn State,FBS Independents,Philadelphia,1984,4,1,4,Kenny Jackson,Wide Receiver
Michigan,Big Ten,Washington,1992,4,1,4,Desmond Howard,Wide Receiver
Alabama,SEC,New England,1973,4,1,4,John Hannah,Offensive Guard
LSU,SEC,Jacksonville,2017,4,1,4,Leonard Fournette,Running Back
Alabama,SEC,Las Vegas,2015,4,1,4,Amari Cooper,Wide Receiver
Florida State,ACC,Baltimore,1997,4,1,4,Peter Boulware,Defensive End
Penn State,FBS Independents,Green Bay,1980,4,1,4,Bruce Clark,Defensive Tackle
Kentucky,SEC,New York,2003,4,1,4,Dewayne Robertson,Defensive Tackle
Oklahoma,Big 8,Los Angeles,1976,4,1,4,Joe Washington,Running Back
Florida State,ACC,Cincinnati,2000,4,1,4,Peter Warrick,Wide Receiver
Miami,Big East,Indianapolis,1999,4,1,4,Edgerrin James,Running Back
USC,Pac-12,Minnesota,2012,4,1,4,Matt Kalil,Offensive Tackle
Ohio State,Big Ten,Dallas,2016,4,1,4,Ezekiel Elliott,Running Back
Purdue,Big Ten,Miami,1967,4,1,4,Bob Griese,Quarterback
USC,Pac-10,New England,1994,4,1,4,Willie McGinest,Defensive End
Missouri,Big 12,Cincinnati,2001,4,1,4,Justin Smith,Defensive End
Oklahoma,Big 12,Washington,2010,4,1,4,Trent Williams,Offensive Tackle
Oklahoma,Big 12,Philadelphia,2013,4,1,4,Lane Johnson,Offensive Tackle
UCLA,Pac-10,Seattle,1981,4,1,4,Kenny Easley,Defensive Back
Clemson,ACC,Las Vegas,2019,4,1,4,Clelin Ferrell,Defensive End
Arkansas,SEC,Las Vegas,2008,4,1,4,Darren McFadden,Running Back
Georgia,SEC,New York,2020,4,1,4,Andrew Thomas,Offensive Tackle
Nebraska,Big 8,Denver,1991,4,1,4,Mike Croel,Linebacker
